ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
-0.01691492407306283,0.20833333333333334,0.9430850759269371,0.1,mask,3,25,24,0.96,room0,voxel_second_region_residual
-0.01691492407306283,0.20833333333333334,0.9430850759269371,0.2,mask,3,25,24,0.96,room0,voxel_second_region_residual
-0.0036895444978340963,0.34782608695652173,0.9163104555021659,0.3,mask,3,25,23,0.92,room0,voxel_second_region_residual
0.020744630920936258,0.45454545454545453,0.9007446309209363,0.4,mask,3,25,22,0.88,room0,voxel_second_region_residual
-0.01691492407306283,0.20833333333333334,0.9430850759269371,0.1,mask,3,25,24,0.96,room0,voxel_owner_entropy_residual
-0.01691492407306283,0.20833333333333334,0.9430850759269371,0.2,mask,3,25,24,0.96,room0,voxel_owner_entropy_residual
-0.07283694299305865,0.10869565217391304,0.8471630570069414,0.3,mask,3,25,23,0.92,room0,voxel_owner_entropy_residual
-0.053885403334766435,0.27272727272727276,0.8261145966652336,0.4,mask,3,25,22,0.88,room0,voxel_owner_entropy_residual
0.016483506200367426,0.5416666666666666,0.9764835062003674,0.1,mask,3,25,24,0.96,room0,framebalanced_disagreement_residual
0.016483506200367426,0.5416666666666666,0.9764835062003674,0.2,mask,3,25,24,0.96,room0,framebalanced_disagreement_residual
-0.0008228459789616505,0.3695652173913043,0.9191771540210384,0.3,mask,3,25,23,0.92,room0,framebalanced_disagreement_residual
-0.005481723681086792,0.3333333333333333,0.8745182763189132,0.4,mask,3,25,22,0.88,room0,framebalanced_disagreement_residual
0.030907561641257297,0.7916666666666666,0.9909075616412573,0.1,mask,3,25,24,0.96,room0,nonspatial_label_entropy_residual
0.030907561641257297,0.7916666666666666,0.9909075616412573,0.2,mask,3,25,24,0.96,room0,nonspatial_label_entropy_residual
0.02494262802147007,0.5434782608695652,0.9449426280214701,0.3,mask,3,25,23,0.92,room0,nonspatial_label_entropy_residual
0.028940478214025345,0.48484848484848486,0.9089404782140253,0.4,mask,3,25,22,0.88,room0,nonspatial_label_entropy_residual
-0.0109625431206819,0.25,0.9490374568793181,0.1,mask,3,25,24,0.96,room0,num_detections
-0.0109625431206819,0.25,0.9490374568793181,0.2,mask,3,25,24,0.96,room0,num_detections
0.01744834884526858,0.5,0.9374483488452686,0.3,mask,3,25,23,0.92,room0,num_detections
-0.015264731780658347,0.3636363636363637,0.8647352682193417,0.4,mask,3,25,22,0.88,room0,num_detections
0.11904761904761901,0.6599999999999999,0.45238095238095233,0.1,association,5,15,5,0.3333333333333333,room0,voxel_second_region_residual
0.11904761904761901,0.6599999999999999,0.45238095238095233,0.2,association,5,15,5,0.3333333333333333,room0,voxel_second_region_residual
0.20277777777777772,0.7499999999999999,0.40277777777777773,0.3,association,5,15,3,0.2,room0,voxel_second_region_residual
0.1583333333333333,0.6923076923076923,0.29166666666666663,0.4,association,5,15,2,0.13333333333333333,room0,voxel_second_region_residual
0.3311111111111111,0.78,0.6644444444444444,0.1,association,5,15,5,0.3333333333333333,room0,voxel_owner_entropy_residual
0.3311111111111111,0.78,0.6644444444444444,0.2,association,5,15,5,0.3333333333333333,room0,voxel_owner_entropy_residual
0.4666666666666666,0.8055555555555556,0.6666666666666666,0.3,association,5,15,3,0.2,room0,voxel_owner_entropy_residual
0.7,0.9615384615384616,0.8333333333333333,0.4,association,5,15,2,0.13333333333333333,room0,voxel_owner_entropy_residual
-0.044761904761904725,0.32,0.2885714285714286,0.1,association,5,15,5,0.3333333333333333,room0,framebalanced_disagreement_residual
-0.044761904761904725,0.32,0.2885714285714286,0.2,association,5,15,5,0.3333333333333333,room0,framebalanced_disagreement_residual
0.05079365079365078,0.5277777777777778,0.2507936507936508,0.3,association,5,15,3,0.2,room0,framebalanced_disagreement_residual
0.0380952380952381,0.4615384615384615,0.17142857142857143,0.4,association,5,15,2,0.13333333333333333,room0,framebalanced_disagreement_residual
0.004545454545454575,0.33999999999999997,0.3378787878787879,0.1,association,5,15,5,0.3333333333333333,room0,nonspatial_label_entropy_residual
0.004545454545454575,0.33999999999999997,0.3378787878787879,0.2,association,5,15,5,0.3333333333333333,room0,nonspatial_label_entropy_residual
0.13333333333333336,0.5555555555555556,0.33333333333333337,0.3,association,5,15,3,0.2,room0,nonspatial_label_entropy_residual
0.012499999999999983,0.34615384615384615,0.14583333333333331,0.4,association,5,15,2,0.13333333333333333,room0,nonspatial_label_entropy_residual
0.1557326007326008,0.52,0.4890659340659341,0.1,association,5,15,5,0.3333333333333333,room0,num_detections
0.1557326007326008,0.52,0.4890659340659341,0.2,association,5,15,5,0.3333333333333333,room0,num_detections
-0.014743589743589747,0.3055555555555555,0.18525641025641026,0.3,association,5,15,3,0.2,room0,num_detections
0.029166666666666674,0.4230769230769231,0.1625,0.4,association,5,15,2,0.13333333333333333,room0,num_detections
-0.014898625998018611,0.22727272727272727,0.9416231131324162,0.1,mask,5,23,22,0.9565217391304348,room0,voxel_second_region_residual
-0.014898625998018611,0.22727272727272727,0.9416231131324162,0.2,mask,5,23,22,0.9565217391304348,room0,voxel_second_region_residual
-0.00028343114799633806,0.3571428571428571,0.9127600471128732,0.3,mask,5,23,21,0.9130434782608695,room0,voxel_second_region_residual
